city,year,house_price_per_m2,green_area,co_emission,night_stays,cars,bike_roads,buildings_introduced,shops,marriages_increase,students,population,birth_rate,balance_of_migration,newly_entities_increase,commune_profit_pc,mean_gross_salary,unemployment_rate,cpi,pkb_pc
Kraków,2010,6530,9.88,17.1364716129543,139.901720906907,466.571647266873,1.06,6.2,0.124053105286774,3.84432655000396,270.190302742365,757740,1.01,0.5,7.73352337213292,26.8400000000002,3543.43,3.8,102.6,32955
Kraków,2011,6543,9.43,19.2877701916782,69.8316245947701,485.609316895369,1.42,6.4,0.138314955008121,2.47649633728826,254.66944701681,759137,0.56,1.3,0.933955267626265,22.6700000000001,3722.48,3.9,104.3,36088
Kraków,2012,6330,9.43,20.308768959324,34.9621670662268,503.193843346072,1.78,9,0.154285578650041,2.35120672421387,239.89956931906,758334,0.01,1,6.92966423765781,-55.9200000000001,3877.57,4.9,103.6,37171
Kraków,2013,6196,9.65,19.0729941817569,34.1123490102662,521.226837700529,1.91,9.2,0.18313763517929,2.71676117798343,224.665082108902,758992,0.26,1.3,4.75499082994287,126.31,3997.8,5.1,100.8,37860
Kraków,2014,6339,9.64,18.365436234123,35.87212041902,534.111328265997,2.02,9.7,0.192945543417341,2.76424023426477,217.696387718163,761873,0.64,2,2.94012256635949,-34.4700000000003,4152.52,4.6,99.9,39568
Kraków,2015,6495,9.75,18.8296593344362,36.2398153124093,557.145278548988,2.18,8.5,0.212858492462576,2.92089153545868,211.292274419271,761069,0.54,0,5.01137216205101,-102.23,4431.17,4.2,99.2,42214
Kraków,2016,6424,9.96,17.7455966131814,39.3247269116187,585.381278419485,2.42,12.3,0.215596090524225,3.43908430460461,201.656823289604,765320,2.18,2.4,5.53493963309465,-23.25,4635.26,3.5,99.6,43967
Kraków,2017,6497,10.09,20.2770320636791,40.4275504725366,610.748969176958,2.87,14.4,0.21893586742912,4.05161673712579,187.154980530346,767348,1.97,2.6,5.7223059159599,-70.9099999999999,4966.2,2.8,102.1,47326
Kraków,2018,6699,10.48,19.2066209379446,41.3205562666895,639.399327427247,2.77,12.5,0.216582432959956,4.06059639280013,175.041403557918,771069,2.05,6.1,2.63270861621982,-345.44,5368.39,2.5,102.2,50861
Kraków,2019,7253,10.87,15.3622507588739,43.1271378422954,659.803751692626,3.03,16.8,0.216912779243116,4.31515244861157,166.710947677814,779115,1.97,9,8.04117492282911,-387,5878.79,2.1,102.9,54678
